,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
AHMEDNAGAR,0,0,0,0,8.9,1,80.5,225.2,190.5,111.6,0.4,0.3
AKOLA ,0,0,0.1,0,0,125.2,168,156.2,98.7,86.5,0,0
AMRAOTI,0,0,0,0,3.2,103.1,190.3,150.2,109.1,58.7,2.3,0
AURANGABAD,0,0,0,0,1.3,137.6,79.8,157.2,176.9,105.3,0.4,0.2
BEED,0,0,5,0,2.9,169.1,76.7,237,154.6,112,0,12.7
BHANDARA,0.6,0,10.1,0,13.6,111.5,304.2,293.7,117,51.5,0,0
BULDHANA,0.3,0,1.2,0,0,179.3,144.9,155.9,176.6,56.8,0.4,0
CHANDRAPUR,0,0,23.5,0,15.5,133,308.1,183.9,143.4,50.1,0,0
DHULE,0,0,0,0,0,108.3,135.8,162.9,105.6,76,0,14.3
GADCHIROLI,0,0,15.4,0,4.8,136.1,467.4,259.9,152.4,67.7,0,0
GONDIA,2.1,0.5,6.3,0,18.2,108.3,33.4,240.9,97.6,48.9,0,0
HINGOLI,0,0,0,0,2.8,231,99.4,220.2,62.4,71.4,0,0
JALGAON,0,0,0,0,13,118.3,158.6,149.9,121.5,44.7,5.6,0.1
JALNA,0,0,0,0,2.8,154.7,61,199.2,168.3,98.9,0,0
KOLHAPUR,0.6,0,0,0.1,60.1,310.6,613.5,210.3,358,166.2,5.4,2.4
LATUR,0,0,10.7,0,4.7,207.3,86.8,311.6,157.7,95.5,0,0
MUMBAI CITY,0,0,0,0,0,559,523.6,651.8,519,96,0,104.8
MUMBAI SUBURBAN,0,0,0,0,3.5,523.2,869.6,950.3,603.2,83.6,0,75.8
NAGPUR,0.6,0,1.2,0,16.4,140.3,236.2,345.4,168.8,41.7,0,0
NANDED,0,0,6.2,0,5.9,182.6,123.2,253.8,75.1,65,0,0
NANDURBAR,0,0,0,0,0,141.8,339.2,153.5,99.8,35.7,0,26.8
NASHIK,0,0,0,0,12.9,221,580.8,260.8,134.6,121.1,2,14.4
OSMANABAD,0,0,12.4,0,5.2,259.2,52.8,237.2,232.9,155.8,20,4.8
PARBHANI,0,0,1.9,0,0,152.8,72.6,242.9,127,94,0,0
PUNE,0,0,0,0,24.6,289.1,512.5,290.2,211,116,13.9,0.7
RAIGAD,0,0,0,0,22.2,920,1256.8,903.7,571.9,158.2,0.4,29.3
RATNAGIRI,0,0,0,0,93.6,948,1094,688.1,704.7,155.2,2.1,9.8
SANGLI,0,0,0,4.6,25.5,82.7,93.6,52.5,219.3,129.2,7,0.5
SATARA,0,0,0,4.3,38.7,142.3,293.2,126.3,273.5,123.2,10.6,3.4
SHOLAPUR,0,0,3.4,0.1,6.3,211.4,24.9,159,194.9,160.7,2.4,1.3
SINDHUDURG,0,0,0,0,84.7,858.6,914.3,557.2,585.2,183.7,0,19.2
THANE,0,0,0,0,1.3,681.4,1153.8,950.5,458.1,182.5,0,22.7
WARDHA,0,0,0.3,0,8.1,211.2,219,162.5,165,46.8,0,0
WASHIM,0,0,1.3,0,0,20.2,178.2,109.8,97.2,84.6,0,0
YEOTMAL,0,0,0,0,4.4,178.8,150.1,132.8,100.5,52.2,0,0
