,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
AHMEDNAGAR,0,1,0,0,0,142.1,144.1,56,182.5,75.5,0,0
AKOLA ,13.2,18.1,1.9,0.7,0,315.7,317.3,280.5,233.2,154.2,0.1,0
AMRAOTI,16.1,4.3,6.7,2,2,286.6,307.3,258.1,131.5,99.6,0,0
AURANGABAD,0,0.8,0,0.1,2.5,162.5,165.5,119.4,151.6,86,10.4,10.7
BEED,0,0,1.2,4.6,2.2,127.6,205,92.3,152.8,76.9,3,24.9
BHANDARA,0,15.4,5.6,2.3,0,403,590.5,535.3,91.1,121.5,0,0
BULDHANA,1.6,2.7,0.9,0,0,256.8,279.4,175.7,130.2,71.5,0,0
CHANDRAPUR,4,25.7,1.1,4.6,1.9,425.4,785.7,344.4,113.8,197.7,0,0
DHULE,0,20.5,1,0.8,0,220.2,277.2,166.5,145.3,89.6,0,0
GADCHIROLI,1.5,14,0,3.2,0,483.9,846.8,525.6,174.1,197,0,0
GONDIA,12.2,22.8,12.3,4.3,0,323,853.6,501.3,128.2,97.9,0,0
HINGOLI,0,6.8,2.7,14.6,0,257.5,418.3,206.8,140.7,139.4,0,1.3
JALGAON,0,22.2,1.2,0.7,0,208.2,251.1,215.1,173.1,57.8,0,0
JALNA,0,0,0,0,0,183.5,244.6,125.7,154.5,97.8,6.8,10
KOLHAPUR,0,4.9,1.9,12.9,36.3,462.6,826.1,328.7,155.4,62.2,0.6,0
LATUR,7.6,17.4,4.6,15.2,2.6,135.1,333.5,153.1,115.1,115.2,3.6,36.8
MUMBAI CITY,0,0,0,0,0,954.7,874.5,234.8,306.3,66.2,6.4,0.5
MUMBAI SUBURBAN,0,0,0,0,0,1029.8,956.1,256.3,190.7,85.3,0,0
NAGPUR,6.9,8.1,8.4,0.7,0,390,478.7,339.3,101.6,109.8,0,0
NANDED,1.7,33.2,0,15.5,20,197.3,452.4,199.6,132,109.7,13.9,0
NANDURBAR,0,4,0,3.8,0,156.9,428.2,258.7,438.8,61.5,0,0
NASHIK,0,5.1,0.7,3.9,0.4,253,406.1,239.1,220.3,81.3,1.7,0
OSMANABAD,0,0.6,10.6,7.9,10.9,111.3,238.4,76.5,210.2,62.7,4.7,2.4
PARBHANI,2.8,14.2,4.9,9.8,8.4,143.3,369.6,150.8,183.6,87.4,7.7,17.5
PUNE,0.5,0.3,0.9,0,0.8,293.4,397.2,128.8,233.3,32.2,13.6,5.4
RAIGAD,0,0,0,0,0.3,1177.7,1712,457.8,332.7,112.7,3,6.5
RATNAGIRI,0,0.2,0,0,12.1,1352,1786,593.7,352.8,260.3,0.3,0
SANGLI,0,0.6,0,12.5,15.1,124.1,185.6,58.7,165.3,53.8,10,0
SATARA,0,1.4,0.3,4.4,8.4,240.8,290.9,117,218.2,35.8,3.9,4.5
SHOLAPUR,0,0.9,1.5,20.8,11.3,89,156.1,44.3,225.6,38.7,5.6,0
SINDHUDURG,0,21.9,0,0,47.3,934.7,1744.8,561,366.2,129.1,6.4,0
THANE,0,0,0,0,12.5,911.2,1157.7,483.6,357.6,103.8,0.1,0
WARDHA,16.5,16.3,5.8,7.5,0,306.9,495.1,168.9,94.4,115.9,0,0
WASHIM,6.4,23.7,3.6,3.8,0,463.6,305.6,261.6,148.1,113.4,0,0
YEOTMAL,1.9,7.7,2,2.8,0,343.9,479.4,242,108.6,129,0.2,0
